Row_Label,Estimate,SE,P_Value
alpha[1],-0.4542490822239576,0.0803210640997132,1.5546867571103462e-8
beta[1],0.7283125231545857,0.32830317770956224,0.02652658474807379
lambda,0.04607095434804549,0.0029998508339025283,0.0
"sigma[1,1]",0.02106430155210643,0.0034253295014509922,7.769358489895239e-10
"sigma[2,1]",0.050492610837438424,0.007774771416869077,8.335532264425183e-11
"sigma[3,1]",0.22748267898383373,0.014275675633898827,0.0
"sigma[4,1]",0.3884057971014493,0.018584312849947434,0.0
"sigma[5,1]",0.5184659090909091,0.01885848306319969,0.0
"sigma[6,1]",0.6317829457364341,0.021280436364582496,0.0
"sigma[7,1]",0.6304347826086957,0.031987225254200266,0.0
"sigma[8,1]",0.7075471698113207,0.04478520392644282,0.0
"sigma[9,1]",0.7413793103448276,0.05915930018575115,0.0
"sigma[10,1]",0.8333333333333334,0.10416666666666667,1.3322676295501878e-15
