period,group,a,avg_a,sequence,n,binary,session,treatment,is_probabilistic,delta,id,mpcr,c,round,prev_avg_a,payoff,study,"[0,0.25)","[0.25,0.5)","[0.5,0.75)","[0.75,1]","[0,0.20)","[0.20,0.40)","[0.40,0.60)","[0.60,0.80)","[0.80,1]",prev_super_game_payoff,prev_super_game_init,prev_inter_diff_len,g,l,delta_rd,spe,rd,spge
1.0,1.0,0.2,0.32,1,4,0.0,1,1.0,0,0.8,1,0.3,1.2,1,0.0,1.1840000000000002,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.2,0.31,1,4,0.0,1,1.0,0,0.8,1,0.3,1.2,2,0.32,1.1720000000000002,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.2,0.32,1,4,0.0,1,1.0,0,0.8,1,0.3,1.2,3,0.31,1.1840000000000002,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.2,0.21,1,4,0.0,1,1.0,0,0.8,1,0.3,1.2,4,0.32,1.052,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.2,0.31,1,4,0.0,1,1.0,0,0.8,1,0.3,1.2,5,0.21,1.1720000000000002,lugovskyy et al (2017),1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.6,0.2,2,4,0.0,1,1.0,0,0.8,1,0.3,1.2,6,0.0,0.64,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.764000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.2,0.13,2,4,0.0,1,1.0,0,0.8,1,0.3,1.2,7,0.2,0.9560000000000001,lugovskyy et al (2017),1,0,0,0,0,1,0,0,0,5.764000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.04,0.04,2,4,0.0,1,1.0,0,0.8,1,0.3,1.2,8,0.13,1.008,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.764000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.04,0.07,2,4,0.0,1,1.0,0,0.8,1,0.3,1.2,9,0.04,1.044,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.764000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.04,0.05,2,4,0.0,1,1.0,0,0.8,1,0.3,1.2,10,0.07,1.02,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.764000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,4.0,0.28,0.47,3,4,0.0,1,1.0,0,0.8,1,0.3,1.2,11,0.0,1.2839999999999998,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,4.668,0.6,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,4.0,0.4,0.45,3,4,0.0,1,1.0,0,0.8,1,0.3,1.2,12,0.47,1.1400000000000001,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,4.668,0.6,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,4.0,1.0,0.42,3,4,0.0,1,1.0,0,0.8,1,0.3,1.2,13,0.45,0.504,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,4.668,0.6,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,4.0,0.6,0.5,3,4,0.0,1,1.0,0,0.8,1,0.3,1.2,14,0.42,1.0,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,4.668,0.6,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,4.0,0.6,0.53,3,4,0.0,1,1.0,0,0.8,1,0.3,1.2,15,0.5,1.036,lugovskyy et al (2017),0,0,1,0,0,0,1,0,0,4.668,0.6,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,2.0,0.56,0.43,4,4,0.0,1,1.0,0,0.8,1,0.3,1.2,16,0.0,0.956,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,4.964,0.28,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,2.0,0.56,0.2,4,4,0.0,1,1.0,0,0.8,1,0.3,1.2,17,0.43,0.6799999999999999,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,4.964,0.28,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,2.0,0.56,0.27,4,4,0.0,1,1.0,0,0.8,1,0.3,1.2,18,0.2,0.764,lugovskyy et al (2017),1,0,0,0,0,1,0,0,0,4.964,0.28,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,2.0,1.0,0.39,4,4,0.0,1,1.0,0,0.8,1,0.3,1.2,19,0.27,0.46799999999999997,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,4.964,0.28,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,2.0,0.4,0.22,4,4,0.0,1,1.0,0,0.8,1,0.3,1.2,20,0.39,0.864,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,4.964,0.28,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,3.0,0.4,0.17,5,4,0.0,1,1.0,0,0.8,1,0.3,1.2,21,0.0,0.804,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,3.7319999999999998,0.56,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,3.0,0.4,0.19,5,4,0.0,1,1.0,0,0.8,1,0.3,1.2,22,0.17,0.828,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,3.7319999999999998,0.56,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,3.0,0.4,0.16,5,4,0.0,1,1.0,0,0.8,1,0.3,1.2,23,0.19,0.792,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,3.7319999999999998,0.56,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,3.0,0.4,0.22,5,4,0.0,1,1.0,0,0.8,1,0.3,1.2,24,0.16,0.864,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,3.7319999999999998,0.56,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,3.0,0.2,0.09,5,4,0.0,1,1.0,0,0.8,1,0.3,1.2,25,0.22,0.908,lugovskyy et al (2017),1,0,0,0,0,1,0,0,0,3.7319999999999998,0.56,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.2,0.18,6,4,0.0,1,1.0,0,0.8,1,0.3,1.2,26,0.0,1.016,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,4.196000000000001,0.4,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.2,0.14,6,4,0.0,1,1.0,0,0.8,1,0.3,1.2,27,0.18,0.9680000000000001,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.196000000000001,0.4,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.12,0.06,6,4,0.0,1,1.0,0,0.8,1,0.3,1.2,28,0.14,0.952,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.196000000000001,0.4,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.2,0.06,6,4,0.0,1,1.0,0,0.8,1,0.3,1.2,29,0.06,0.872,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.196000000000001,0.4,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.2,0.09,6,4,0.0,1,1.0,0,0.8,1,0.3,1.2,30,0.06,0.908,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.196000000000001,0.4,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,3.0,0.2,0.1,7,4,0.0,1,1.0,0,0.8,1,0.3,1.2,31,0.0,0.92,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,4.716,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,3.0,0.2,0.06,7,4,0.0,1,1.0,0,0.8,1,0.3,1.2,32,0.1,0.872,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.716,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,3.0,0.2,0.06,7,4,0.0,1,1.0,0,0.8,1,0.3,1.2,33,0.06,0.872,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.716,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,3.0,0.2,0.05,7,4,0.0,1,1.0,0,0.8,1,0.3,1.2,34,0.06,0.8600000000000001,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.716,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,3.0,0.2,0.05,7,4,0.0,1,1.0,0,0.8,1,0.3,1.2,35,0.05,0.8600000000000001,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.716,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.2,0.06,8,4,0.0,1,1.0,0,0.8,1,0.3,1.2,36,0.0,0.872,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,4.384,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.2,0.07,8,4,0.0,1,1.0,0,0.8,1,0.3,1.2,37,0.06,0.884,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.384,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.2,0.08,8,4,0.0,1,1.0,0,0.8,1,0.3,1.2,38,0.07,0.896,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.384,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.2,0.05,8,4,0.0,1,1.0,0,0.8,1,0.3,1.2,39,0.08,0.8600000000000001,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.384,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.2,0.05,8,4,0.0,1,1.0,0,0.8,1,0.3,1.2,40,0.05,0.8600000000000001,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.384,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,2.0,0.2,0.11,9,4,0.0,1,1.0,0,0.8,1,0.3,1.2,41,0.0,0.932,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,4.372000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,2.0,0.2,0.1,9,4,0.0,1,1.0,0,0.8,1,0.3,1.2,42,0.11,0.92,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.372000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,2.0,0.2,0.07,9,4,0.0,1,1.0,0,0.8,1,0.3,1.2,43,0.1,0.884,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.372000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,2.0,0.04,0.05,9,4,0.0,1,1.0,0,0.8,1,0.3,1.2,44,0.07,1.02,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.372000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,2.0,0.04,0.02,9,4,0.0,1,1.0,0,0.8,1,0.3,1.2,45,0.05,0.984,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.372000000000001,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.0,0.04,10,4,0.0,1,1.0,0,0.8,1,0.3,1.2,46,0.0,1.048,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,4.74,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.0,0.01,10,4,0.0,1,1.0,0,0.8,1,0.3,1.2,47,0.04,1.012,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.74,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.0,0.0,10,4,0.0,1,1.0,0,0.8,1,0.3,1.2,48,0.01,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.74,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.0,0.0,10,4,0.0,1,1.0,0,0.8,1,0.3,1.2,49,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.74,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.0,0.0,10,4,0.0,1,1.0,0,0.8,1,0.3,1.2,50,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,4.74,0.2,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.0,0.05,11,4,0.0,1,1.0,0,0.8,1,0.3,1.2,51,0.0,1.06,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.0600000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.0,0.01,11,4,0.0,1,1.0,0,0.8,1,0.3,1.2,52,0.05,1.012,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0600000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.0,0.0,11,4,0.0,1,1.0,0,0.8,1,0.3,1.2,53,0.01,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0600000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.0,0.0,11,4,0.0,1,1.0,0,0.8,1,0.3,1.2,54,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0600000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.04,0.01,11,4,0.0,1,1.0,0,0.8,1,0.3,1.2,55,0.0,0.972,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0600000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,4.0,0.0,0.0,12,4,0.0,1,1.0,0,0.8,1,0.3,1.2,56,0.0,1.0,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.0440000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,4.0,0.0,0.02,12,4,0.0,1,1.0,0,0.8,1,0.3,1.2,57,0.0,1.024,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0440000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,4.0,0.0,0.0,12,4,0.0,1,1.0,0,0.8,1,0.3,1.2,58,0.02,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0440000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,4.0,0.0,0.01,12,4,0.0,1,1.0,0,0.8,1,0.3,1.2,59,0.0,1.012,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0440000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,4.0,0.0,0.0,12,4,0.0,1,1.0,0,0.8,1,0.3,1.2,60,0.01,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0440000000000005,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.0,0.2,13,4,0.0,1,1.0,0,0.8,1,0.3,1.2,61,0.0,1.24,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.036,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.0,0.03,13,4,0.0,1,1.0,0,0.8,1,0.3,1.2,62,0.2,1.036,lugovskyy et al (2017),1,0,0,0,0,1,0,0,0,5.036,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.0,0.0,13,4,0.0,1,1.0,0,0.8,1,0.3,1.2,63,0.03,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.036,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.0,0.0,13,4,0.0,1,1.0,0,0.8,1,0.3,1.2,64,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.036,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.0,0.0,13,4,0.0,1,1.0,0,0.8,1,0.3,1.2,65,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.036,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.0,0.0,14,4,0.0,1,1.0,0,0.8,1,0.3,1.2,66,0.0,1.0,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.276,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.0,0.0,14,4,0.0,1,1.0,0,0.8,1,0.3,1.2,67,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.276,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.0,0.0,14,4,0.0,1,1.0,0,0.8,1,0.3,1.2,68,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.276,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.0,0.0,14,4,0.0,1,1.0,0,0.8,1,0.3,1.2,69,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.276,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.0,0.0,14,4,0.0,1,1.0,0,0.8,1,0.3,1.2,70,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.276,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,4.0,0.0,0.25,15,4,0.0,1,1.0,0,0.8,1,0.3,1.2,71,0.0,1.3,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,4.0,0.0,0.0,15,4,0.0,1,1.0,0,0.8,1,0.3,1.2,72,0.25,1.0,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,5.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,4.0,0.0,0.01,15,4,0.0,1,1.0,0,0.8,1,0.3,1.2,73,0.0,1.012,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,4.0,0.0,0.0,15,4,0.0,1,1.0,0,0.8,1,0.3,1.2,74,0.01,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,4.0,0.0,0.0,15,4,0.0,1,1.0,0,0.8,1,0.3,1.2,75,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,2.0,0.36,0.34,1,4,0.0,1,1.0,0,0.8,2,0.3,1.2,1,0.0,1.048,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,2.0,0.24,0.48,1,4,0.0,1,1.0,0,0.8,2,0.3,1.2,2,0.34,1.3359999999999999,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,2.0,0.2,0.07,1,4,0.0,1,1.0,0,0.8,2,0.3,1.2,3,0.48,0.884,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,2.0,0.0,0.01,1,4,0.0,1,1.0,0,0.8,2,0.3,1.2,4,0.07,1.012,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,2.0,0.12,0.03,1,4,0.0,1,1.0,0,0.8,2,0.3,1.2,5,0.01,0.916,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,1.0,0.08,0.2,2,4,0.0,1,1.0,0,0.8,2,0.3,1.2,6,0.0,1.1600000000000001,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.196,0.36,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,1.0,0.12,0.13,2,4,0.0,1,1.0,0,0.8,2,0.3,1.2,7,0.2,1.036,lugovskyy et al (2017),1,0,0,0,0,1,0,0,0,5.196,0.36,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,1.0,0.0,0.04,2,4,0.0,1,1.0,0,0.8,2,0.3,1.2,8,0.13,1.048,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.196,0.36,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,1.0,0.0,0.07,2,4,0.0,1,1.0,0,0.8,2,0.3,1.2,9,0.04,1.084,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.196,0.36,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,1.0,0.08,0.05,2,4,0.0,1,1.0,0,0.8,2,0.3,1.2,10,0.07,0.98,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.196,0.36,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,4.0,0.0,0.47,3,4,0.0,1,1.0,0,0.8,2,0.3,1.2,11,0.0,1.564,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.308,0.08,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,4.0,0.0,0.45,3,4,0.0,1,1.0,0,0.8,2,0.3,1.2,12,0.47,1.54,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,5.308,0.08,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,4.0,0.08,0.42,3,4,0.0,1,1.0,0,0.8,2,0.3,1.2,13,0.45,1.424,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,5.308,0.08,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,4.0,0.0,0.5,3,4,0.0,1,1.0,0,0.8,2,0.3,1.2,14,0.42,1.6,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,5.308,0.08,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,4.0,0.0,0.53,3,4,0.0,1,1.0,0,0.8,2,0.3,1.2,15,0.5,1.6360000000000001,lugovskyy et al (2017),0,0,1,0,0,0,1,0,0,5.308,0.08,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,4.0,0.04,0.39,4,4,0.0,1,1.0,0,0.8,2,0.3,1.2,16,0.0,1.428,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,7.764,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,4.0,0.36,0.69,4,4,0.0,1,1.0,0,0.8,2,0.3,1.2,17,0.39,1.468,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,7.764,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,4.0,0.0,0.6,4,4,0.0,1,1.0,0,0.8,2,0.3,1.2,18,0.69,1.72,lugovskyy et al (2017),0,0,1,0,0,0,0,1,0,7.764,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,4.0,0.16,0.54,4,4,0.0,1,1.0,0,0.8,2,0.3,1.2,19,0.6,1.488,lugovskyy et al (2017),0,0,1,0,0,0,0,1,0,7.764,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,4.0,0.0,0.0,4,4,0.0,1,1.0,0,0.8,2,0.3,1.2,20,0.54,1.0,lugovskyy et al (2017),0,0,1,0,0,0,1,0,0,7.764,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,2.0,0.0,0.33,5,4,0.0,1,1.0,0,0.8,2,0.3,1.2,21,0.0,1.396,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,7.103999999999999,0.04,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,2.0,0.2,0.41,5,4,0.0,1,1.0,0,0.8,2,0.3,1.2,22,0.33,1.292,lugovskyy et al (2017),0,1,0,0,0,1,0,0,0,7.103999999999999,0.04,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,2.0,0.04,0.1,5,4,0.0,1,1.0,0,0.8,2,0.3,1.2,23,0.41,1.08,lugovskyy et al (2017),0,1,0,0,0,0,1,0,0,7.103999999999999,0.04,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,2.0,0.0,0.07,5,4,0.0,1,1.0,0,0.8,2,0.3,1.2,24,0.1,1.084,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,7.103999999999999,0.04,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,2.0,0.0,0.01,5,4,0.0,1,1.0,0,0.8,2,0.3,1.2,25,0.07,1.012,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,7.103999999999999,0.04,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
1.0,2.0,0.0,0.1,6,4,0.0,1,1.0,0,0.8,2,0.3,1.2,26,0.0,1.12,lugovskyy et al (2017),0,0,0,0,0,0,0,0,0,5.864000000000001,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
2.0,2.0,0.04,0.04,6,4,0.0,1,1.0,0,0.8,2,0.3,1.2,27,0.1,1.008,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.864000000000001,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
3.0,2.0,0.0,0.0,6,4,0.0,1,1.0,0,0.8,2,0.3,1.2,28,0.04,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.864000000000001,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
4.0,2.0,0.0,0.0,6,4,0.0,1,1.0,0,0.8,2,0.3,1.2,29,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.864000000000001,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
5.0,2.0,0.0,0.0,6,4,0.0,1,1.0,0,0.8,2,0.3,1.2,30,0.0,1.0,lugovskyy et al (2017),1,0,0,0,1,0,0,0,0,5.864000000000001,0.0,0.0,3.500000000000001,3.5000000000000004,-0.075,0.778,0,1
